depreg,depreg.1,mupreg,mupreg.1,mesreg,mesreg.1,añoreg,añoreg.1,diaocu,diaocu.1,mesocu,mesocu.1,añoocu,añoocu.1,depocu,depocu.1,mupocu,mupocu.1,edadhom,edadhom.1,edadmuj,edadmuj.1,grethom,gretmuj,nachom,nachom.1,nacmuj,nacmuj.1,escohom,escomuj,ocupahom,ocupamuj
1,,101,,8,,2010,,4,,5,,2010,,1,,101,,41,,35,,9,9,320,,320,,9,9,1120,1120
1,,101,,11,,2010,,6,,10,,2010,,1,,101,,999,,999,,9,9,320,,320,,9,9,2161,1219
1,,101,,3,,2010,,16,,2,,2010,,1,,101,,42,,31,,9,9,320,,320,,4,9,2166,1219
1,,101,,10,,2010,,25,,8,,2010,,1,,101,,47,,36,,9,9,320,,320,,1,1,5221,1219
1,,101,,8,,2010,,20,,5,,2010,,1,,101,,999,,999,,9,9,840,,484,,9,9,9712,1219
16,,1601,,3,,2010,,28,,1,,2010,,16,,1601,,23,,37,,2,2,320,,320,,9,3,9712,1221
1,,101,,10,,2010,,23,,6,,2010,,1,,101,,999,,999,,9,9,320,,320,,9,9,5249,1346
1,,101,,11,,2010,,24,,8,,2010,,1,,101,,999,,999,,9,9,320,,320,,9,9,1219,1411
1,,101,,9,,2010,,15,,7,,2010,,1,,101,,999,,999,,2,2,320,,320,,5,5,2113,2131
1,,101,,11,,2010,,8,,9,,2010,,1,,101,,33,,33,,9,9,320,,320,,9,9,2611,2141
16,,1601,,4,,2011,,26,,10,,2010,,16,,1601,,999,,999,,9,9,320,,320,,9,9,9712,2141
1,,101,,10,,2010,,9,,9,,2010,,1,,101,,999,,999,,9,9,320,,320,,9,9,2142,2142
1,,108,,3,,2010,,8,,2,,2010,,1,,101,,32,,30,,9,9,320,,320,,5,5,2141,2145
1,,101,,10,,2010,,25,,3,,2010,,1,,101,,999,,999,,9,9,320,,320,,9,9,9712,2145
1,,101,,7,,2010,,4,,5,,2010,,1,,101,,33,,999,,9,9,320,,320,,9,9,9999,2149
1,,101,,9,,2010,,26,,5,,2010,,1,,101,,999,,999,,9,9,320,,840,,9,9,2161,2161
1,,101,,10,,2010,,3,,9,,2010,,1,,101,,999,,999,,9,9,320,,320,,9,9,9712,2161
1,,101,,1,,2011,,12,,10,,2010,,1,,101,,32,,32,,2,9,320,,320,,5,4,2421,2166
9,,901,,2,,2011,,10,,6,,2010,,9,,901,,32,,28,,9,9,320,,320,,4,9,4311,2166
1,,101,,10,,2010,,28,,5,,2010,,1,,101,,999,,999,,9,9,320,,320,,9,9,5221,2166
1,,101,,5,,2011,,29,,3,,2010,,1,,101,,999,,999,,9,9,320,,320,,9,9,9712,2166
1,,101,,4,,2010,,22,,2,,2010,,1,,101,,27,,27,,9,9,320,,320,,1,1,2211,2211
1,,101,,1,,2011,,14,,9,,2010,,20,,2001,,999,,999,,9,9,320,,320,,9,9,2211,2211
1,,101,,1,,2011,,25,,5,,2010,,1,,101,,32,,33,,9,9,320,,320,,5,5,2211,2211
1,,101,,3,,2011,,28,,12,,2010,,1,,115,,37,,34,,2,2,320,,320,,5,5,9999,2211
1,,101,,10,,2010,,9,,9,,2010,,1,,101,,34,,33,,9,9,320,,320,,1,4,2166,2212
16,,1612,,9,,2010,,2,,6,,2010,,16,,1601,,999,,999,,9,9,320,,320,,9,1,7231,2212
1,,101,,6,,2010,,6,,5,,2010,,1,,101,,999,,999,,9,9,320,,320,,1,9,2211,2221
3,,308,,6,,2010,,29,,4,,2010,,1,,101,,40,,32,,9,9,320,,320,,1,1,2211,2221
5,,506,,12,,2010,,12,,10,,2010,,10,,1001,,49,,44,,2,2,320,,320,,5,5,2320,2221
14,,1401,,3,,2011,,3,,8,,2010,,14,,1401,,44,,47,,2,9,320,,320,,9,9,2634,2221
9,,920,,12,,2010,,5,,11,,2010,,9,,920,,999,,999,,9,9,320,,320,,9,9,6111,2221
1,,101,,9,,2010,,31,,8,,2010,,3,,301,,999,,999,,9,9,320,,320,,9,9,6111,2221
3,,315,,2,,2011,,1,,9,,2010,,3,,301,,29,,28,,1,2,320,,320,,3,2,7112,2221
1,,101,,11,,2010,,23,,6,,2010,,1,,101,,999,,999,,9,9,320,,320,,1,1,9712,2221
1,,101,,7,,2010,,23,,4,,2010,,1,,101,,999,,65,,2,2,320,,320,,1,3,9999,2221
9,,901,,10,,2010,,25,,8,,2010,,9,,901,,999,,999,,9,9,320,,320,,9,9,5221,2261
1,,108,,12,,2010,,8,,10,,2010,,22,,2201,,999,,999,,9,9,320,,320,,9,9,5221,2261
21,,2101,,7,,2010,,21,,6,,2010,,21,,2101,,22,,27,,9,9,320,,320,,9,1,9712,2261
1,,101,,12,,2010,,30,,9,,2010,,1,,101,,999,,999,,2,2,320,,320,,9,9,7212,2262
12,,1228,,9,,2010,,19,,5,,2010,,1,,101,,38,,36,,2,9,320,,320,,2,4,8322,2262
9,,901,,7,,2010,,5,,4,,2010,,9,,901,,31,,999,,9,9,320,,320,,4,4,5221,2264
1,,101,,11,,2010,,28,,9,,2010,,1,,101,,33,,33,,9,9,320,,320,,1,1,2211,2265
1,,101,,11,,2010,,21,,10,,2010,,1,,101,,31,,32,,2,9,320,,320,,5,5,5221,2265
